uid,p2overhead
unit.001080,0.010027
unit.001081,0.009523
unit.001082,0.009457
unit.001083,0.007607
unit.001084,0.010638
unit.001085,0.009784
unit.001086,0.009872
unit.001087,0.009554
unit.001088,0.010458
unit.001089,0.010378
unit.001090,0.0104
unit.001091,0.010434
unit.001092,0.010393
unit.001093,0.008848
unit.001094,0.010486
unit.001095,0.010784
unit.001096,0.008929
unit.001097,0.010671
unit.001098,0.010815
unit.001099,0.010856
unit.001100,0.112284
unit.001101,0.010807
unit.001102,0.010973
unit.001103,0.010712
unit.001104,0.009016
unit.001105,0.011094
unit.001106,0.011216
unit.001107,0.011628
unit.001108,0.350405
unit.001109,0.215515
unit.001110,0.081161
unit.001111,0.01072
unit.001112,0.00997
unit.001113,0.011659
unit.001114,0.009236
unit.001115,0.010411
unit.001116,0.012322
unit.001117,0.009342
unit.001118,0.009303
unit.001119,0.009761
unit.001120,0.112232
unit.001121,0.010619
unit.001122,0.0101
unit.001123,0.011481
unit.001124,0.010501
unit.001125,0.009493
unit.001126,0.009108
unit.001127,0.010381
unit.001128,0.010204
unit.001129,0.008662
unit.001130,0.009709
unit.001131,0.008775
unit.001132,0.009639
unit.001133,0.00803
unit.001134,0.009378
unit.001135,0.008312
unit.001136,0.00931
unit.001137,0.009196
unit.001138,0.009172
unit.001139,0.009638
unit.001140,0.010045
unit.001141,0.078355
unit.001142,0.008025
unit.001143,0.009427
unit.001144,0.010185
unit.001145,0.009144
unit.001146,0.009984
unit.001147,0.009817
unit.001148,0.009802
unit.001149,0.04229
unit.001150,0.011903
unit.001151,0.012313
unit.001152,0.012238
unit.001153,0.010133
unit.001154,0.010142
unit.001155,0.008645
unit.001156,0.011964
unit.001157,0.009568
unit.001158,0.008752
unit.001159,0.010427
unit.001160,0.009154
unit.001161,0.065595
unit.001162,0.0086
unit.001163,0.010292
unit.001164,0.010392
unit.001165,0.010439
unit.001166,0.010455
unit.001167,0.010379
unit.001168,0.01004
unit.001169,0.01076
unit.001170,0.0102
unit.001171,0.009419
unit.001172,0.009055
unit.001173,0.01193
unit.001174,0.009379
unit.001175,0.009271
unit.001176,0.009026
unit.001177,0.007918
unit.001178,0.009702
unit.001179,0.008125
unit.001180,0.007596
unit.001181,0.009017
unit.001182,0.059872
unit.001183,0.010565
unit.001184,0.01005
unit.001185,0.010217
unit.001186,0.010216
unit.001187,0.009794
unit.001188,0.008571
unit.001189,0.010302
unit.001190,0.046019
unit.001191,0.009899
unit.001192,0.010457
unit.001193,0.010351
unit.001194,0.010408
unit.001195,0.010641
unit.001196,0.011083
unit.001197,0.010359
unit.001198,0.010809
unit.001199,0.010688
unit.001200,0.00903
unit.001201,0.01062
unit.001202,0.092522
unit.001203,0.010754
unit.001204,0.010739
unit.001205,0.008898
unit.001206,0.010037
unit.001207,0.011038
unit.001208,0.010656
unit.001209,0.010316
unit.001210,0.011278
unit.001211,0.013934
unit.001212,0.010897
unit.001213,0.011035
unit.001214,0.008301
unit.001215,0.010645
unit.001216,0.010378
unit.001217,0.010854
unit.001218,0.010355
unit.001219,0.010574
unit.001220,0.01072
unit.001221,0.010992
unit.001222,0.010117
unit.001223,0.066356
unit.001224,0.010556
unit.001225,0.01091
unit.001226,0.012798
unit.001227,0.010385
unit.001228,0.01143
unit.001229,0.010773
unit.001230,0.011201
unit.001231,0.046616
unit.001232,0.01171
unit.001233,0.011235
unit.001234,0.011375
unit.001235,0.009407
unit.001236,0.010872
unit.001237,0.008995
unit.001238,0.010432
unit.001239,0.010306
unit.001240,0.010232
unit.001241,0.010907
unit.001242,0.011665
unit.001243,0.061228
unit.001244,0.01284
unit.001245,0.010699
unit.001246,0.010656
unit.001247,0.012309
unit.001248,0.009942
unit.001249,0.011479
unit.001250,0.009704
unit.001251,0.011062
unit.001252,0.010845
unit.001253,0.012443
unit.001254,0.012035
unit.001255,0.011844
unit.001256,0.01284
unit.001257,0.012238
unit.001258,0.012605
unit.001259,0.010663
unit.001260,0.01288
unit.001261,0.010521
unit.001262,0.01049
unit.001263,0.013405
unit.001264,0.108588
unit.001265,0.010318
unit.001266,0.01227
unit.001267,0.012137
unit.001268,0.012842
